day,open,close,high,low,volume,money
2019/1/2,563,563.4,565,560.6,124988,7035387800
2019/1/3,562.8,561,563.4,555.2,204634,11443980100
2019/1/4,562.4,563.4,567,560.4,255842,14431648700
2019/1/7,565,569.4,570.4,562.8,195620,11083326600
2019/1/8,568.2,564.8,569.4,563,164072,9284548000
2019/1/9,565,561.4,565.4,561.2,159258,8977638500
2019/1/10,562.2,561,564.8,559.4,175528,9858734100
2019/1/11,561,561,562.8,557,176346,9877018800
2019/1/14,560.2,577.2,581.6,559,522922,30094600400
2019/1/15,577.2,575,578.6,570.2,217378,12465979600
2019/1/16,576,582.2,585,574.6,259774,15080386600
2019/1/17,582.2,583.8,584.4,580.4,125836,7332367200
2019/1/18,585,591.6,595.6,583.2,265288,15643400000
2019/1/21,591.4,587.8,593.6,579.2,284344,16720090700
2019/1/22,585,576,587.4,574.4,291362,16928409100
2019/1/23,575,576.6,579.8,572.8,164634,9484192300
2019/1/24,576.6,569,577.6,569,176356,10095057800
2019/1/25,569,574,580.4,567,323288,18546883900
2019/1/28,574.6,573.8,578.2,571.2,149914,8617677500
2019/1/29,573.2,571.6,574.6,569,122038,6975819700
2019/1/30,571.6,571.2,576.6,570,158566,9086455100
2019/1/31,572.8,586.2,587.8,571,229594,13321112700
2019/2/1,585.8,589,590,583,128804,7551320400
2019/2/11,591.6,581.2,592,575.6,160138,9291608700
2019/2/12,580.8,579.6,585.4,578,142280,8272062600
2019/2/13,584,585,589.6,582.4,205834,12051728300
2019/2/14,587,586.6,590.8,584.2,210894,12391144200
2019/2/15,588,588.2,592,587,220362,12989811900
2019/2/18,590,583.8,594,581.6,218094,12790672800
2019/2/19,584.6,584,585,581,101086,5893836200
2019/2/20,584.4,588,588,581.2,139042,8128529100
2019/2/21,586.2,585.6,594.8,582,312740,18389813100
2019/2/22,585,583,586,580,165572,9644637600
2019/2/25,583.4,590.8,592.6,581.4,242252,14253063800
2019/2/26,592,593,595,585.6,277706,16396590100
2019/2/27,595.4,602.6,604.8,593.4,405884,24338577700
2019/2/28,605.8,604.4,606.2,600.2,201650,12167764700
2019/3/1,608,620,620,608,349922,21455744200
2019/3/4,620.2,615.4,621.8,614,273254,16888172400
2019/3/5,620,611.2,620.4,607.2,289938,17775593200
2019/3/6,612,615.6,616.6,608.8,220274,13503305600
2019/3/7,616.6,613.2,618.6,612.4,147384,9060956000
2019/3/8,613,603.4,613,603,251658,15279413500
2019/3/11,600,592.8,602,592,263682,15753632800
2019/3/12,591.4,593.8,599.2,591.4,174968,10415468200
2019/3/13,593.4,589.2,597,589.2,185252,10989119300
2019/3/14,589.6,592.6,593.2,589.4,112110,6635134000
2019/3/15,594.8,595.6,599.2,594,236328,14091608300
2019/3/18,593,592.8,594.6,589.8,157924,9358023000
2019/3/19,591.4,591,593.2,589.8,112396,6647238000
2019/3/20,593.2,596.4,597,586.4,287352,17035595700
2019/3/21,597,597.8,601,596,154894,9262765400
2019/3/22,595.4,597.6,598.6,594.8,111708,6666320300
2019/3/25,597.6,594.6,598.4,592.6,139958,8332637600
2019/3/26,594.6,597.6,598.6,593.2,121408,7240164700
2019/3/27,597.4,593.2,597.4,592,169240,10058054700
2019/3/28,593.4,594.2,596,593.4,90942,5407018000
2019/3/29,593.8,593.6,596.2,592,148626,8831485400
2019/4/1,593.8,608.8,609,593.8,299450,18040907300
2019/4/2,608,605.2,608.4,604.2,130326,7900849200
2019/4/3,607.6,614.8,615.6,606.8,186270,11377079100
2019/4/4,616,614.4,617.8,611.4,119446,7330297700
2019/4/8,615.6,619,622.6,615.2,91394,5656337500
2019/4/9,620,616.6,621.2,614.8,106748,6589008400
2019/4/10,617.2,618.4,627.6,616.2,261738,16265218900
2019/4/11,618.2,619,621.4,617,92364,5718676900
2019/4/12,620,623,624.2,618.4,113134,7032801600
2019/4/15,621.6,619.2,622.6,618,109740,6802129400
2019/4/16,619,621.6,625,616.6,121008,7510863000
2019/4/17,621.4,620.2,625.8,619.6,123186,7668072700
2019/4/18,619.6,612.6,621.4,612,109522,6755925000
2019/4/19,613.4,608.2,615,608,86776,5303891500
2019/4/22,588,596.8,603.2,586.4,131636,7831506000
2019/4/23,597,600.2,602,595.8,142844,8565805400
2019/4/24,599.8,604.4,606.6,599.8,172792,10415886100
2019/4/25,605,603.2,606.6,602.2,142940,8635834600
2019/4/26,603.8,607,608.8,603.6,145860,8848094700
2019/4/29,606.2,607.4,608.6,603.6,121958,7387699700
2019/4/30,608.8,616.2,616.6,608.2,176660,10840515800
2019/5/6,611,610.8,611.4,601.4,119112,7245945300
2019/5/7,610,605,611.8,603.6,154566,9381386300
2019/5/8,604,599.2,604.6,598.4,191988,11532415000
2019/5/9,597,598.4,601.2,596.6,139656,8356166200
2019/5/10,599.4,600.8,603.8,599,126418,7607527700
2019/5/13,600,607.2,608.6,600,154194,9327642400
2019/5/14,607.6,603,607.6,601.8,123756,7478159000
2019/5/15,603,600.6,607,597.2,195066,11746736200
2019/5/16,600,601.8,603.2,600,125378,7542982200
2019/5/17,601,597.4,601.8,594.8,235162,14061884200
2019/5/20,597,599.2,604,597,157704,9474075900
2019/5/21,598,595.4,599,595,155442,9270104600
2019/5/22,594.6,592.4,597.6,591.6,179084,10646990500
2019/5/23,594,594,596.4,591,136030,8075846500
2019/5/24,593.4,589.6,595.2,587.4,210576,12444941600
2019/5/27,589.2,585.4,589.4,584.4,177616,10421837300
2019/5/28,585,585.8,591.6,584.4,150250,8823703900
2019/5/29,584.2,581,585,578.8,153218,8910883000
2019/5/30,579.8,579.6,581,577.8,123654,7165409400
2019/5/31,575.6,570,578.4,569.6,246224,14124960000
2019/6/3,570,574.8,576.4,570,204280,11728229900
2019/6/4,576.6,578.2,580.8,575.6,168474,9735192400
2019/6/5,577.8,576.8,578.6,575.2,129972,7495672100
2019/6/6,579.8,582,584.8,578.2,278482,16201670500
2019/6/10,585,587,588.8,584.4,125374,7356229800
2019/6/11,587.6,593.8,595,582.4,247988,14586317700
2019/6/12,592.8,593.6,594,590.4,153186,9076296600
2019/6/13,593.6,589.2,593.6,586.2,179536,10587600400
2019/6/14,588,589.2,590,585.4,127562,7498249600
2019/6/17,588,591.2,592.8,586.8,164386,9709275800
2019/6/18,590.2,597.6,599.2,587.6,292002,17359097600
2019/6/19,598.6,596.4,601.2,594.2,225064,13459489900
2019/6/20,596.8,600.8,600.8,596.6,129964,7778555100
2019/6/21,600.8,604.6,606,597.2,187728,11295642400
2019/6/24,606.8,606.4,612.6,606.2,276190,16825979900
2019/6/25,606.8,605.4,609.2,603,153384,9285721600
2019/6/26,604,595.6,604.6,594.6,263104,15744228100
2019/6/27,596.2,596.8,599.4,593.6,124752,7449118900
2019/6/28,597.2,603.8,604.6,597.2,191672,11514168400
2019/7/1,605.4,598.8,607,596.4,197404,11878021300
2019/7/2,598.6,599.8,602.2,597.4,132116,7925507100
2019/7/3,599.4,589,599.4,588.2,245738,14555978800
2019/7/4,587.6,585.4,590.8,585,163026,9580910300
2019/7/5,585.4,589.8,591.4,584.4,153604,9033669600
2019/7/8,588.2,586.4,595,585.4,211574,12482638200
2019/7/9,586.4,583,588,581.4,168616,9845216500
2019/7/10,582,581.8,583.8,580.6,111560,6495601300
2019/7/11,582,583.2,586.2,581,119330,6964209800
2019/7/12,582.2,582,584.4,580,93318,5435367700
2019/7/15,583,581,586,580.8,162020,9446543100
2019/7/16,581,584,584.4,580.2,114848,6687928800
2019/7/17,583,576.6,584,576.2,184010,10669719900
2019/7/18,578.4,579.6,579.8,577.2,105758,6118116700
2019/7/19,579.4,586,587.6,579.4,207884,12151858000
2019/7/22,585.2,586.2,589.4,583.4,133676,7839194800
2019/7/23,586.8,593,593.8,586.6,158782,9378861500
2019/7/24,593,593.2,595.8,589.6,166034,9851077600
2019/7/25,593.4,592.4,595,590.6,112206,6650891900
2019/7/26,592.4,591,594.6,587.4,133752,7906620000
2019/7/29,592,591.4,594,589,116942,6917163600
2019/7/30,589.6,587.4,591.2,583.6,166502,9769424900
2019/7/31,589.6,587.8,591,585.6,86480,5081922300
2019/8/1,588.8,583.4,589.4,582.4,115134,6740455600
2019/8/2,584.4,580.6,585,580.6,119746,6980553200
2019/8/5,582.6,577,583.8,575.4,143918,8331538400
2019/8/6,577,578,584.6,577,135734,7884931800
2019/8/7,577,578.4,580.6,575.4,96194,5562734200
2019/8/8,577.6,577.6,579,576.2,81930,4732091100
2019/8/9,577.4,574.4,578.6,573.8,106120,6108366500
2019/8/12,575.4,578.4,581.2,574.8,103136,5956941100
2019/8/13,578.6,573.2,578.8,571.4,104058,5982741700
2019/8/14,575,579,580.8,572.2,125968,7281099800
2019/8/15,578,580.6,581,575.6,91734,5303191200
2019/8/16,580.4,583.8,585,580,103188,6012172200
2019/8/19,584,585.8,586.2,578.6,99718,5812308600
2019/8/20,586.6,591.2,592.6,585.2,129066,7598696700
2019/8/21,584.6,583.2,584.6,577.6,81378,4726772000
2019/8/22,583.2,587,588.8,582.8,109296,6408274100
2019/8/23,585,585.8,586.6,583.2,82778,4842390200
2019/8/26,585.4,586.6,591,584.2,162942,9588706000
2019/8/27,587,590.2,590.8,585.2,108340,6369756000
2019/8/28,588,581,589,580.8,170408,9955990900
2019/8/29,580.2,579,582.6,579,91938,5338418400
2019/8/30,580.2,583.4,584,579.6,85538,4981598200
2019/9/2,583.6,584.6,584.6,578.2,128498,7472607400
2019/9/3,584,584.2,586,581.6,102404,5981780100
2019/9/4,584,590.2,597.4,583.2,177520,10448369700
2019/9/5,588.8,592.2,593.6,587.8,105310,6227905800
2019/9/6,593,593.6,595.2,590.2,141154,8375244000
2019/9/9,595,592,596,588.2,145816,8627165800
2019/9/10,591,590.4,594,590.2,94402,5593962000
2019/9/11,590,591,591,588,105728,6235785600
2019/9/12,590.4,588.2,593,588.2,94358,5570068200
2019/9/16,590.4,587.4,593.6,585,113828,6715456000
2019/9/17,582.2,584.8,585.4,580.2,97318,5665865800
2019/9/18,585.4,583.8,586.2,582.2,73914,4319549100
2019/9/19,584,582,584.4,581.4,61104,3561534000
2019/9/20,582.8,576.4,582.8,575.6,139872,8089579800
2019/9/23,576.4,573,578,573,141898,8165756200
2019/9/24,573.4,572.2,577.4,571.6,131912,7579044200
2019/9/25,572.8,576.2,576.2,571.2,116968,6710020700
2019/9/26,576.4,573.6,577,572,96234,5529713600
2019/9/27,572.2,568,573,562.8,212918,12116848400
2019/9/30,567.8,570.2,572,567.8,92864,5294101500
2019/10/8,570,567.2,570.6,563.8,126408,7162683800
2019/10/9,566.2,566.8,568.4,563.8,135032,7651632300
2019/10/10,566.6,567,567.8,561.6,174810,9879683900
2019/10/11,567,565.6,571.6,565,134786,7648194000
2019/10/14,564.8,561.8,567.4,561,185358,10453956600
2019/10/15,561.2,559,562,554.6,253602,14130977800
2019/10/16,557.8,557,559,556.2,121740,6786752600
2019/10/17,557,558.4,559,556.2,103696,5781782900
2019/10/18,558.4,558.8,560.6,556.2,128072,7152717300
2019/10/21,559,558.8,560,556.4,110942,6194302900
2019/10/22,559.4,558.8,561,555.2,136588,7621651000
2019/10/23,558.8,556.8,559.4,553.2,180134,10030007500
2019/10/24,555,555.4,556.8,553.4,131680,7311151700
2019/10/25,555,560,560,554.6,142638,7959012300
2019/10/28,561.6,562.4,565,561,183018,10303264800
2019/10/29,562,556.2,562.4,556,141972,7939925000
2019/10/30,556.2,556.6,557.6,555,111176,6182797100
2019/10/31,554.6,543.6,554.6,542.6,389324,21306071600
2019/11/1,540.4,542,545.6,538.8,281764,15266971400
2019/11/4,544.8,545,547.2,543.6,188936,10300509500
2019/11/5,544.4,546,546.2,542.2,158776,8647785800
2019/11/6,544,543.6,545.4,538.2,183450,9963061000
2019/11/7,543.6,544.2,545.4,542.6,93922,5111761800
2019/11/8,546,552.6,553.8,546,255268,14043394200
2019/11/11,551.2,549.8,552.4,546.4,161836,8891841900
2019/11/12,549.6,550.6,552.2,547.6,104576,5748794000
2019/11/13,551.2,557,557.4,549.8,200648,11118865000
2019/11/14,557.2,556,559.2,555.2,150762,8397152600
2019/11/15,556,554,557.8,553,131520,7306842900
2019/11/18,555,551.4,555.8,549,137036,7569748100
2019/11/19,551.8,552.6,553.2,549.4,114728,6329784500
2019/11/20,551.6,552.4,555.8,551.2,106336,5882736100
2019/11/21,553.4,555.6,555.6,550.2,115354,6375040500
2019/11/22,554.8,554.4,555,552.8,75208,4165897300
2019/11/25,552.8,555.6,557,552.4,124154,6893463200
2019/11/26,555.4,551.8,555.4,551.4,115492,6389112000
2019/11/27,552,546,553.6,546,161362,8862087400
2019/11/28,546.8,546.2,548,545.2,81846,4475489100
2019/11/29,547,553.8,553.8,545,131778,7237435700
2019/12/2,553,554,555,550.6,121234,6709401000
2019/12/3,550.6,551.6,554.4,550.4,77692,4292729000
2019/12/4,551,552,553.8,550,70554,3892132100
2019/12/5,552.6,553.6,554,551,74956,4144404800
2019/12/6,552,552.8,555.2,552,93926,5200194800
2019/12/9,553.4,544.6,553.8,541.6,170628,9340842800
2019/12/10,545.8,546.2,548.2,545,66152,3616896500
2019/12/11,547,543.2,548.4,542.6,78782,4295224700
2019/12/12,536,535,536.6,534.2,119872,6414119400
2019/12/13,533.8,536.4,538.6,533.4,115694,6202091300
2019/12/16,536.4,544,544.4,535.8,157754,8530705600
2019/12/17,544,542,545.6,540.2,169972,9232006100
2019/12/18,542.4,544.8,545.4,542,73624,4005537300
2019/12/19,545,547,548,544.6,137014,7489550800
2019/12/20,546.8,551.6,551.6,545,166896,9147796000
2019/12/23,552,554.2,555,549.4,158104,8744865500
2019/12/24,555,554,555.6,551.2,111298,6159758500
2019/12/25,555,552.2,556,552,110594,6118418400
2019/12/26,554,550,554,549.2,113634,6266474800
2019/12/27,550,552.6,554,549.4,99076,5468717800
2019/12/30,553.2,557.2,559,551.4,160668,8937002200
2019/12/31,557.2,556.8,559.6,555.6,138124,7698141800
2020/1/2,557.4,556.6,559,555.2,45509,2536383900
2020/1/3,556,552.2,556,551.2,75506,4173660800
2020/1/6,552.2,552.8,556,551.8,70374,3896791200
2020/1/7,553,553.8,555,553,38585,2138359400
2020/1/8,554.6,558.2,558.2,554.4,61065,3399100800
2020/1/9,558.2,556.6,561,554.8,75190,4196119100
2020/1/10,556.6,557.4,558.2,555.8,34084,1899058800
2020/1/13,557,554.2,557.8,552.4,67245,3729497500
2020/1/14,554.4,556.8,557.2,553.8,34480,1915090900
2020/1/15,557,550.6,557.4,550.2,63210,3494823800
2020/1/16,550.6,550.4,553.2,550.2,37825,2085875900
2020/1/17,550.4,551,553.6,549.2,39892,2198947100
2020/1/20,551,550.4,552.2,550,35768,1970541600
2020/1/21,550.8,546,552,545.4,64080,3511626000
2020/1/22,545.4,546.8,547.6,542.6,54585,2977562500
2020/1/23,547,546.2,547.6,543.4,33899,1850669800
2020/2/3,542.6,557.2,580,542.2,129323,7212161300
