day,open,close,high,low,volume,money
2019/1/2,1890,1876.5,1912,1868.5,341892,64455603200
2019/1/3,1866,1937,1944,1840,726622,1.3889E+11
2019/1/4,1939,1941,1958,1916,648688,1.25552E+11
2019/1/7,1945.5,1964,1976,1928,607660,1.18677E+11
2019/1/8,1969.5,1949,1970,1938,471014,91990637300
2019/1/9,1948,1946,1979,1943,559500,1.09766E+11
2019/1/10,1945,1934.5,1959,1925,565734,1.09748E+11
2019/1/11,1934.5,1982,1985,1931,644950,1.26019E+11
2019/1/14,1981.5,2015,2019.5,1967,572460,1.14199E+11
2019/1/15,2016,2019,2029,1995,512256,1.03031E+11
2019/1/16,2019,2034.5,2040,2006,509560,1.02993E+11
2019/1/17,2030,2034.5,2045,2022,385758,78421136500
2019/1/18,2030,2065.5,2075.5,2020,561358,1.15278E+11
2019/1/21,2065.5,2030,2080,2022,635408,1.30383E+11
2019/1/22,2025,2019,2070,2013,622586,1.26815E+11
2019/1/23,2020,2043,2050,2019.5,423142,86118491000
2019/1/24,2046,2034.5,2058,2025,459966,93889139800
2019/1/25,2032,2048.5,2073,2032,527128,1.08321E+11
2019/1/28,2046.5,2041,2093.5,2037.5,538566,1.10977E+11
2019/1/29,2038.5,2026,2046,2015,451006,91482345800
2019/1/30,2030,2020,2070,2017.5,597666,1.22255E+11
2019/1/31,2021,2062,2074,2010,563130,1.15039E+11
2019/2/1,2065,2112.5,2118,2056,516910,1.0753E+11
2019/2/11,2166,2096.5,2174.5,2089,390882,83054931000
2019/2/12,2090,2100.5,2117,2085,392518,82481052400
2019/2/13,2100,2066,2119.5,2031.5,507920,1.05309E+11
2019/2/14,2065,2088.5,2097,2053.5,437284,90742616900
2019/2/15,2090,2042.5,2092.5,2033.5,443474,91364692400
2019/2/18,2054.5,2068,2099,2043.5,559684,1.1571E+11
2019/2/19,2068,2085,2089.5,2050,536818,1.11101E+11
2019/2/20,2085,2113,2121,2068,553482,1.1577E+11
2019/2/21,2116.5,2126.5,2145,2114,476652,1.01457E+11
2019/2/22,2128,2163,2165.5,2122,387502,83074244000
2019/2/25,2168,2138,2185,2131,506140,1.09091E+11
2019/2/26,2131.5,2143.5,2150,2106,464474,98808783000
2019/2/27,2140,2122,2152,2115.5,423890,90464338500
2019/2/28,2125,2124.5,2137,2100.5,413970,87768313000
2019/3/1,2123,2168,2169,2115,427966,91586329100
2019/3/4,2167,2107.5,2170,2092,474812,1.01652E+11
2019/3/5,2105,2087,2106,2071,449250,93797602900
2019/3/6,2087,2063.5,2095.5,2057,396284,82268940100
2019/3/7,2062,2080,2092,2055,349116,72437833900
2019/3/8,2080,2023.5,2081,2018,474798,97008073300
2019/3/11,2000,1966.5,2015,1965,452546,90159477500
2019/3/12,1969,2005,2013,1967,398898,79472586300
2019/3/13,2008,1985.5,2020,1975.5,408082,81621778700
2019/3/14,1984.5,2012,2018,1972,429516,85886465100
2019/3/15,2012,1994,2032,1961,531564,1.05811E+11
2019/3/18,1980,1968,2001.5,1965,394410,78292744800
2019/3/19,1966,1964,1985,1947,431304,84721192100
2019/3/20,1965,1968,1982,1955,369868,72734708300
2019/3/21,1965.5,1971.5,1988,1963.5,356280,70367779500
2019/3/22,1965,1999,2008,1961.5,564256,1.11662E+11
2019/3/25,1999,1973.5,1999,1972,317760,63033499300
2019/3/26,1973.5,1968,1976,1960.5,248544,48936144000
2019/3/27,1969,1948,1978,1942.5,323006,63362995800
2019/3/28,1948,1965,1976,1944.5,295646,57978389400
2019/3/29,1960,1984.5,1995,1955,340478,67270254500
2019/4/1,1984.5,2017,2023.5,1974.5,322784,64539919800
2019/4/2,2018.5,2004.5,2026.5,2002.5,221854,44657066700
2019/4/3,2004.5,2026,2043.5,1996,252662,51010788900
2019/4/4,2026,2026.5,2031,2010,153778,31059334800
2019/4/8,2025,2048.5,2055,2022.5,108650,22192386700
2019/4/9,2074.5,2045,2080,2041,332188,68569109900
2019/4/10,2040.5,2017.5,2046,2009,348890,70756701000
2019/4/11,2015,2012,2021.5,1987.5,355474,71302833500
2019/4/12,2012.5,2031,2033.5,1981.5,528392,1.06142E+11
2019/4/15,2040,2050,2069,2021,405224,82909198500
2019/4/16,2054,2061,2073,2033,385480,79062182000
2019/4/17,2060,2047,2065,2041,323630,66364093700
2019/4/18,2047,2012,2050,2007.5,359078,72846124000
2019/4/19,2009,2050,2055,2003.5,337852,68659185100
2019/4/22,2051.5,2033.5,2066,2026,382044,78268205000
2019/4/23,2031.5,2046,2055,2029,284670,58081968700
2019/4/24,2046,2047,2048,2024.5,319100,65018704100
2019/4/25,2050.5,2036,2068,2033,394942,80887576600
2019/4/26,2035,2015,2051.5,2001,396988,80643774100
2019/4/29,2015,2047,2049,2008,280510,56962089300
2019/4/30,2050,2046.5,2054,2026.5,277926,56660962000
2019/5/6,2030,2063,2075,2017.5,316618,64952100100
2019/5/7,2065,2119,2132,2062,515348,1.08283E+11
2019/5/8,2118.5,2147.5,2152,2103.5,487554,1.03911E+11
2019/5/9,2148,2156,2165,2136,429286,92392443800
2019/5/10,2156,2167,2174,2143,414804,89535616700
2019/5/13,2165,2126.5,2171,2125.5,408690,87762464900
2019/5/14,2125,2091,2129,2088,514318,1.08481E+11
2019/5/15,2088,2140,2142,2080,412122,87017848500
2019/5/16,2137.5,2139,2153,2126.5,387466,83003518200
2019/5/17,2139,2162.5,2178,2133,446676,96198394200
2019/5/20,2161,2172.5,2175,2133,356830,77053424100
2019/5/21,2171,2271,2275,2166.5,679138,1.50769E+11
2019/5/22,2275,2296.5,2338,2268.5,798854,1.83931E+11
2019/5/23,2287.5,2264,2299,2241,640740,1.4546E+11
2019/5/24,2255.5,2321,2334.5,2243,657228,1.50565E+11
2019/5/27,2323.5,2259,2362,2252,799410,1.8457E+11
2019/5/28,2255,2237,2278,2222,641314,1.44157E+11
2019/5/29,2237,2222,2239.5,2198,474886,1.05418E+11
2019/5/30,2222,2205,2249,2199.5,576514,1.28386E+11
2019/5/31,2200.5,2140.5,2215.5,2138.5,612808,1.33776E+11
2019/6/3,2137,2098.5,2144,2086.5,502750,1.06336E+11
2019/6/4,2105,2127,2130,2088,406734,85891320300
2019/6/5,2127,2114.5,2127,2095,392158,82818280000
2019/6/6,2114,2146.5,2153,2066,722358,1.52605E+11
2019/6/10,2145,2126.5,2147.5,2112,341028,72659247000
2019/6/11,2125,2208.5,2213,2123,630634,1.3652E+11
2019/6/12,2208,2114.5,2210.5,2113,629588,1.36117E+11
2019/6/13,2117,2151.5,2156.5,2113.5,517696,1.10539E+11
2019/6/14,2160,2108.5,2163.5,2101.5,542202,1.15285E+11
2019/6/17,2098,2064.5,2126,2056,564238,1.17845E+11
2019/6/18,2060,2055.5,2068.5,2033,465476,95373633700
2019/6/19,2062,2066,2089,2039.5,641668,1.32317E+11
2019/6/20,2060.5,2076.5,2084,2052,410330,84982603100
2019/6/21,2071,2089.5,2101,2050,571764,1.18605E+11
2019/6/24,2080,2081.5,2121,2057,579376,1.2111E+11
2019/6/25,2075,2092,2098,2056,457526,94888494300
2019/6/26,2088,2105.5,2118.5,2082.5,601326,1.2648E+11
2019/6/27,2102.5,2054.5,2118,2051,583608,1.22267E+11
2019/6/28,2050,2071,2081,2049,391120,80804281600
2019/7/1,2071,2130.5,2140,2062.5,531416,1.11887E+11
2019/7/2,2120,2110.5,2121,2088,399576,84044650900
2019/7/3,2105,2102,2137,2091,447652,94569494500
2019/7/4,2095.5,2154.5,2160,2090.5,579976,1.2344E+11
2019/7/5,2154,2140,2159,2128,432736,92868481000
2019/7/8,2136.5,2122.5,2148.5,2110.5,333870,71067306100
2019/7/9,2123,2119,2152.5,2116,361724,77257174600
2019/7/10,2119,2082,2127,2068.5,434726,90913779600
2019/7/11,2082,2093.5,2109.5,2076,355562,74414065300
2019/7/12,2097,2118.5,2138,2080.5,396558,83613625900
2019/7/15,2114.5,2167.5,2172.5,2111,418118,89725494100
2019/7/16,2166,2173.5,2193,2158.5,335656,73073828100
2019/7/17,2183,2209.5,2218,2168,424778,93067023400
2019/7/18,2210,2194.5,2211,2186,311046,68372102000
2019/7/19,2193.5,2187,2193.5,2121.5,402384,87117103900
2019/7/22,2184.5,2141,2186.5,2139.5,298452,64563624900
2019/7/23,2141,2154,2167,2135,229086,49291034400
2019/7/24,2150,2122,2153.5,2096,373352,79355633200
2019/7/25,2127.5,2139,2150,2118,224448,47965698800
2019/7/26,2168,2180.5,2198.5,2155,323338,70370490400
2019/7/29,2182,2169,2190,2167.5,202532,44105416800
2019/7/30,2167,2150,2179.5,2147,241976,52371193500
2019/7/31,2145,2141.5,2163,2136.5,209552,45062669100
2019/8/1,2143,2105,2147,2104.5,216852,46142940800
2019/8/2,2103,2051,2105,2000,448396,91978462800
2019/8/5,2048,2031.5,2062,2024,241358,49337940800
2019/8/6,2033.5,2036.5,2070,2031.5,218514,44773221700
2019/8/7,2046,2066.5,2075,2035,154166,31683097100
2019/8/8,2020,2016,2050,2000.5,372994,75454021900
2019/8/9,2020,1935.5,2023.5,1915,513140,1.00993E+11
2019/8/12,1933,2009,2014.5,1922.5,456752,90020406400
2019/8/13,2010,1984,2024,1980,404864,81002055100
2019/8/14,1990,1969,2025.5,1958,570394,1.13509E+11
2019/8/15,1965,1981.5,1992,1959,406932,80437377000
2019/8/16,1980,1977.5,1997,1972,295250,58563747200
2019/8/19,1977.5,1979.5,1999,1965,326208,64773647700
2019/8/20,1980,1985.5,1994.5,1972,267694,53119182600
2019/8/21,1985,1963,1985,1927.5,462978,90310677400
2019/8/22,1963,1955.5,1964,1937.5,328616,64160532400
2019/8/23,1955,1950,1960.5,1935,307462,59926277500
2019/8/26,1936,1883,1952,1878,423216,80832498600
2019/8/27,1890.5,1875.5,1897,1866,346934,65181553900
2019/8/28,1875,1887,1895,1831,484242,90040580600
2019/8/29,1887,1857.5,1890,1856,324660,60831114100
2019/8/30,1855,1891,1906.5,1851,399762,75248511400
2019/9/2,1889.5,1916,1924,1885,348092,66274426600
2019/9/3,1915,1886.5,1919,1877,319310,60473470200
2019/9/4,1888,1916,1921.5,1879,345964,65770677600
2019/9/5,1925,1918,1953,1913,425660,82242148200
2019/9/6,1919,1918,1938,1913,310856,59815960100
2019/9/9,1930,1963.5,1967,1918.5,427034,82907042600
2019/9/10,1963.5,1961,1969.5,1947,268498,52577761800
2019/9/11,1960,1975,1978,1951,309578,60815485000
2019/9/12,1976,2005,2010,1961,319478,63336082700
2019/9/16,2021,1994,2025,1981,285892,57202076900
2019/9/17,1994,1974,2001.5,1961.5,324468,64276861400
2019/9/18,1973,1979,2000,1964,321662,63864513500
2019/9/19,1980,1962.5,1998,1951.5,480746,95140788500
2019/9/20,1965,1939,1965,1928,446750,86850324100
2019/9/23,1940,1982,1991.5,1934,417612,81990803400
2019/9/24,1980,1886.5,1991,1885,573972,1.11348E+11
2019/9/25,1895,1895.5,1906,1875,384136,72595386100
2019/9/26,1894,1887.5,1919,1865.5,491240,92973511700
2019/9/27,1886.5,1876,1892,1856,346878,65042304400
2019/9/30,1875,1873,1916,1863,370498,69832292100
2019/10/8,1890,1880,1893,1836,238422,44698753300
2019/10/9,1879,1851,1890,1839,399296,74361303500
2019/10/10,1845,1858,1866,1835,340452,63086158700
2019/10/11,1860,1862,1868.5,1840,333796,61926882100
2019/10/14,1858,1805,1885,1805,511178,94715603100
2019/10/15,1805,1809.5,1814,1769,566238,1.01422E+11
2019/10/16,1809.5,1777,1819.5,1757,539432,96759187700
2019/10/17,1773,1788,1794.5,1772,333400,59445984700
2019/10/18,1786,1779,1793,1746.5,534492,94549800500
2019/10/21,1780,1742.5,1783,1732,440874,77333403400
2019/10/22,1742,1748.5,1754,1733,317762,55395007300
2019/10/23,1750,1770.5,1777.5,1747.5,412622,72773119400
2019/10/24,1773,1781,1784.5,1760.5,390956,69273117300
2019/10/25,1780,1793.5,1798,1763.5,366924,65317084400
2019/10/28,1793.5,1747.5,1799.5,1736.5,496450,87922108400
2019/10/29,1747,1758,1765,1743,290174,50908049600
2019/10/30,1758,1744.5,1760.5,1716,524786,91177728100
2019/10/31,1745,1737.5,1751.5,1731.5,340504,59282787600
2019/11/1,1732.5,1743,1757.5,1720,425926,74041188200
2019/11/4,1742.5,1732.5,1745.5,1723.5,356124,61764865700
2019/11/5,1734,1764,1772.5,1729,403074,70591554800
2019/11/6,1765,1749,1778,1748,349186,61540205200
2019/11/7,1749,1748.5,1766.5,1740,328500,57575650100
2019/11/8,1752,1750,1758,1742,298128,52181715900
2019/11/11,1746,1699,1752,1685.5,570920,98039291800
2019/11/12,1699,1718.5,1730,1694,400520,68541098100
2019/11/13,1721,1712.5,1724,1703,277364,47524211700
2019/11/14,1713,1753,1757.5,1708,418350,72511335700
2019/11/15,1751.5,1760,1767.5,1750,301392,53060813100
2019/11/18,1760.5,1756.5,1799,1744.5,474664,83990327300
2019/11/19,1760,1813,1814.5,1752.5,514434,91780030100
2019/11/20,1814,1814,1827,1800,394066,71487891200
2019/11/21,1816,1802,1817.5,1792,335216,60425434000
2019/11/22,1805,1814.5,1820,1797.5,331506,60018995000
2019/11/25,1820,1903.5,1913,1805.5,547770,1.02315E+11
2019/11/26,1903.5,1859,1904.5,1836,437858,81927741300
2019/11/27,1860,1864.5,1878,1845.5,323508,60301446800
2019/11/28,1877.5,1860,1879,1841,326142,60612624100
2019/11/29,1862,1849.5,1874,1835,315530,58616676000
2019/12/2,1846,1853.5,1859.5,1813.5,359506,66113755400
2019/12/3,1855,1859.5,1869,1846,238058,44261687000
2019/12/4,1858,1873.5,1891.5,1845,333968,62487759800
2019/12/5,1879,1868,1900,1860,293790,55224792100
2019/12/6,1868,1873.5,1882.5,1861,199940,37432889900
2019/12/9,1872.5,1926.5,1944.5,1854,356442,67928612000
2019/12/10,1923,1918.5,1938,1907.5,177660,34204861200
2019/12/11,1918.5,1918,1925,1905.5,128814,24680067000
2019/12/12,1864,1845,1888,1830.5,418670,77695012100
2019/12/13,1845,1848,1857,1833,264478,48760592700
2019/12/16,1851,1825.5,1874.5,1814.5,488896,90087122100
2019/12/17,1825,1854.5,1865,1816.5,403370,74225521000
2019/12/18,1864,1862,1869,1848.5,282014,52421091300
2019/12/19,1860.5,1887.5,1893,1853,401216,75152610000
2019/12/20,1890,1872,1892,1863,349408,65583143600
2019/12/23,1872,1863,1885,1856,360298,67414917600
2019/12/24,1861,1854,1861.5,1831,432380,79786688100
2019/12/25,1850,1846,1854,1841.5,210904,38965964700
2019/12/26,1848,1852.5,1857.5,1832.5,262984,48583943700
2019/12/27,1853.5,1855.5,1874.5,1845,330986,61590545400
2019/12/30,1852.5,1861.5,1867.5,1851,192558,35811068200
2019/12/31,1861.5,1883,1887,1833,334084,62538604800
2020/1/2,1893,1868,1908,1858.5,130070,24446500600
2020/1/3,1862.5,1867,1878,1862,84283,15757927100
2020/1/6,1864,1883,1884,1859.5,124754,23371061200
2020/1/7,1885,1891,1892.5,1876.5,95611,18012848700
2020/1/8,1895.5,1908.5,1927,1888.5,150535,28705556200
2020/1/9,1909,1879.5,1912.5,1873.5,128521,24339340200
2020/1/10,1873,1882,1889.5,1873,72369,13625419400
2020/1/13,1880,1848,1884,1843.5,131631,24502423800
2020/1/14,1847,1862,1868,1847,76174,14152763800
2020/1/15,1861,1852.5,1866,1849,84648,15716892500
2020/1/16,1852.5,1857.5,1869.5,1847,99622,18519936800
2020/1/17,1854,1875,1882.5,1854,110406,20623690400
2020/1/20,1874,1880.5,1889,1870,68894,12945129200
2020/1/21,1875.5,1861,1880,1850,90403,16853972700
2020/1/22,1860,1859,1869.5,1813,151776,27926452400
2020/1/23,1858,1832,1862,1823.5,79956,14725374200
2020/2/3,1750,1733,1798.5,1732,148146,26102859000
2020/2/4,1733.5,1778,1785,1731.5,110844,19589367800
2020/2/5,1776,1775,1788.5,1766,88214,15674633100
2020/2/6,1775,1793.5,1798,1767,92161,16454745400
2020/2/7,1793,1793.5,1799.5,1782,54791,9804349200
2020/2/10,1785.5,1799,1811.5,1775,88139,15854693700
2020/2/11,1799,1855,1880,1793,149559,27524383300
2020/2/12,1855.5,1886,1893.5,1855.5,116631,21808664400
2020/2/13,1886,1880,1894,1868,93388,17577250900
2020/2/14,1880.5,1881.5,1887,1867,76292,14321726600
2020/2/17,1871.5,1871,1886,1858.5,107021,20027447800
2020/2/18,1870,1849,1873,1841,116944,21694680100
2020/2/19,1849,1842,1859,1833,87433,16157402000
2020/2/20,1845,1875,1878,1841,139439,25933656800
2020/2/21,1874.5,1867,1876.5,1861,85894,16047552600
2020/2/24,1863,1864,1884,1837,137492,25683453800
2020/2/25,1845,1870,1870,1839.5,95386,17696018000
2020/2/26,1865,1844,1868.5,1842,97014,17994183200
2020/2/27,1842.5,1805,1846.5,1804,122868,22386676000
2020/2/28,1785,1789,1818.5,1766,163414,29271245000
2020/3/2,1788,1838,1864,1787,151509,27658468200
2020/3/3,1846,1828.5,1854.5,1822,90155,16552607700
2020/3/4,1822,1833,1840.5,1814,91249,16673936200
2020/3/5,1836,1830,1844,1824,74426,13647326400
2020/3/6,1825,1801,1838,1796.5,138817,25275281000
2020/3/9,1766,1813.5,1815,1754,159862,28489063600
2020/3/10,1808,1820.5,1840,1794,133840,24320472200
2020/3/11,1821,1822,1832,1818,74347,13567373400
2020/3/12,1820,1827.5,1834,1808,111025,20234238600
2020/3/13,1815,1879,1880.5,1805,175936,32305363100
2020/3/16,1867,1846.5,1872,1838,112123,20820335550
2020/3/17,1839,1851.5,1856.5,1835,85572,15808705700
2020/3/18,1842,1828.5,1873,1827,129166,23914190150
2020/3/19,1830,1809.5,1833,1742.5,217522,38948031300
2020/3/20,1814.5,1786,1827,1771.5,141054,25354018550
2020/3/23,1756,1765,1789,1747.5,118355,20921308700
2020/3/24,1778,1795.5,1796,1766,100546,17885065800
2020/3/25,1805,1801,1821,1791,69242,12481295450
2020/3/26,1807,1793,1807,1788,63394,11382570000
2020/3/27,1795,1800,1815,1781,76081,13650838800
2020/3/30,1783,1767,1800,1756,78120,13868615950
2020/3/31,1776,1763.5,1781,1751,55695,9847551750
2020/4/1,1652.5,1594,1659,1582,172007,27679045750
2020/4/2,1591.5,1665,1674.5,1568,238450,38476692450
2020/4/3,1673,1617.5,1673.5,1596,190341,30939428650
2020/4/7,1630,1645,1656.5,1625.5,134990,22161286400
2020/4/8,1639.5,1680,1689,1632,165837,27585955050
2020/4/9,1688,1699,1704.5,1673.5,138078,23316555600
2020/4/10,1690,1730,1730.5,1690,144737,24770383300
2020/4/13,1730,1730,1749,1716,136233,23639729350
2020/4/14,1732,1731,1746,1722.5,117621,20372620800
2020/4/15,1727,1700,1748,1698.5,173740,29923155450
2020/4/16,1700,1717,1718,1692.5,139962,23879442000
2020/4/17,1717.5,1717.5,1738.5,1703,153090,26341379850
2020/4/20,1720,1708.5,1728,1706,94157,16126914200
2020/4/21,1698,1670,1701.5,1651,163142,27304591550
2020/4/22,1660,1695,1697.5,1655,147246,24684034600
2020/4/23,1696.5,1683,1719.5,1680,168445,28655308800
2020/4/24,1683,1715,1717,1677.5,176365,29933627650
2020/4/27,1713,1701.5,1715.5,1696,118142,20146125350
2020/4/28,1698.5,1638.5,1699.5,1636,228071,37853066250
2020/4/29,1648,1657,1663.5,1642,122136,20179835300
2020/4/30,1666,1693,1698,1660.5,142778,24011985050
2020/5/6,1709,1708,1730,1700,110276,18854330450
2020/5/7,1710,1741,1748,1708.5,150124,26016503000
2020/5/8,1749,1750,1764.5,1742.5,133180,23332774550
2020/5/11,1747.5,1726,1753.5,1723,151897,26365244800
2020/5/12,1721.5,1740.5,1745.5,1720.5,129608,22474058000
2020/5/13,1745,1726,1751,1712.5,155758,26938811300
2020/5/14,1729.5,1774.5,1780,1722.5,213184,37311764400
2020/5/15,1774.5,1776.5,1795,1762,165211,29385965200
2020/5/18,1776.5,1816,1844,1768.5,175550,31808615950
2020/5/19,1826.5,1837.5,1842,1818,133911,24484913600
2020/5/20,1837.5,1819,1837.5,1810,128451,23427559150
2020/5/21,1815,1850.5,1864.5,1812,173946,32031030650
2020/5/22,1853,1809,1859,1795.5,216748,39615718800
2020/5/25,1835,1869,1878,1821.5,267653,49574967050
2020/5/26,1872.5,1874,1892,1856.5,245708,45983260200
2020/5/27,1870,1863,1874.5,1846,201376,37472052650
2020/5/28,1864.5,1855,1872,1847,176421,32814713500
2020/5/29,1850,1877,1883,1850,172610,32272365900
2020/6/1,1875,1895,1916.5,1869,249732,47380493300
2020/6/2,1895,1928,1944,1891,237206,45532329800
2020/6/3,1928.5,1946,1953,1920.5,198386,38422022500
2020/6/4,1946,1963.5,1993.5,1942,295898,58312830550
2020/6/5,1960,1954,1977.5,1942,221653,43440340450
2020/6/8,1950,1958,1988.5,1938,252717,49654558800
2020/6/9,1955,1955.5,1959,1922.5,258044,50156282800
2020/6/10,1953.5,1961.5,1975.5,1943,225392,44131094300
2020/6/11,1970,1955,1977.5,1945.5,198582,38961631350
2020/6/12,1952,1970,1971,1914.5,264361,51422594700
2020/6/15,1975,1932,1979,1924.5,213979,41748418200
2020/6/16,1930,1947.5,1955,1930,161529,31396613650
