day,open,close,high,low,volume,money
2019/1/2,1171,1145.5,1177,1144,158756,11044766000
2019/1/3,1144.5,1175.5,1176,1143.5,237100,16550057600
2019/1/4,1176,1185.5,1190,1165,273590,19331391600
2019/1/7,1190.5,1195,1198,1178.5,186398,13287640100
2019/1/8,1196.5,1184,1197,1179.5,155370,11062383600
2019/1/9,1185.5,1187.5,1199,1184.5,181614,12980392000
2019/1/10,1188.5,1192,1199,1182,222362,15890020900
2019/1/11,1193,1233,1234,1193,377406,27434595800
2019/1/14,1231,1245,1256,1227,309238,23054892500
2019/1/15,1242,1237.5,1246,1231,236624,17591024400
2019/1/16,1236,1231.5,1240,1223,268990,19873499900
2019/1/17,1230,1231.5,1234,1223,231888,17090220400
2019/1/18,1229.5,1238,1245.5,1226,274626,20387310500
2019/1/21,1237.5,1214,1253,1208,407432,30077945600
2019/1/22,1216,1215.5,1227.5,1205,340078,24827375800
2019/1/23,1215,1232,1236,1208,260600,19113816700
2019/1/24,1232,1216,1238,1216,210762,15508512500
2019/1/25,1215.5,1213,1234,1209,316580,23209720600
2019/1/28,1213,1222,1236,1210,249428,18325304600
2019/1/29,1223,1209,1227,1196,249080,18124531600
2019/1/30,1210,1204,1225.5,1202.5,256806,18745799300
2019/1/31,1204.5,1269,1275,1195,592906,44034171500
2019/2/1,1268.5,1288.5,1290,1262,343348,26274272700
2019/2/11,1305,1267.5,1323.5,1260.5,263808,20280596700
2019/2/12,1266,1291.5,1302,1261,302950,23351518900
2019/2/13,1292.5,1279,1299,1264.5,304298,23399836800
2019/2/14,1281,1272.5,1286.5,1262,252504,19327144200
2019/2/15,1274,1272.5,1281.5,1264,243736,18615318100
2019/2/18,1277,1258.5,1294,1246.5,348498,26551563200
2019/2/19,1255,1256,1265.5,1250.5,197240,14888201300
2019/2/20,1257,1265.5,1269,1245.5,245506,18549159500
2019/2/21,1285,1285,1296,1275,297916,22983003100
2019/2/22,1289,1295,1299.5,1276.5,226230,17446597100
2019/2/25,1295,1291,1303.5,1281,288940,22383014800
2019/2/26,1290,1295,1301.5,1277,253916,19633517200
2019/2/27,1293.5,1295.5,1316,1288,309216,24145063600
2019/2/28,1296.5,1296,1303,1281.5,208042,16138930700
2019/3/1,1296.5,1313.5,1315.5,1288,249084,19463401300
2019/3/4,1316,1282,1322.5,1274,322982,25115570300
